wave,field,type,allowed_values_or_range,role,construction_or_direction,missingness
endline,stress1,integer,1 to 5,stress item,recorded response; higher contributes to higher stress,item may be missing; aggregate uses available items
endline,stress2,integer,1 to 5,reverse-scored stress item,recorded response; analysis uses 6 minus response,item may be missing; aggregate uses available items
endline,stress3,integer,1 to 5,reverse-scored stress item,recorded response; analysis uses 6 minus response,item may be missing; aggregate uses available items
endline,stress4,integer,1 to 5,stress item,recorded response; higher contributes to higher stress,item may be missing; aggregate uses available items
endline,life_satisfaction,integer,1 to 10,primary outcome,raw recorded response; higher means greater life satisfaction,may be missing; model-specific complete cases
endline,institute_satisfaction,integer,1 to 10,endline descriptive measure,raw recorded response; higher means greater institutional satisfaction,may be missing; summaries omit missing values
endline,performance,integer,"1; 2; 3; 4 observed",primary outcome and ordered-logit outcome,raw recorded Performance response; higher codes indicate worse performance,may be missing; model-specific complete cases
endline,learning,integer,1 to 10,primary outcome,raw recorded response; higher means better learning,may be missing; model-specific complete cases
endline,productivity,integer,"1; 2; 3; 4 observed",primary outcome and ordered-logit outcome,raw recorded response; higher codes indicate worse productivity,may be missing; model-specific complete cases
endline,supervisor_goals,integer,1 to 5,ordered-logit outcome,raw recorded ordinal response; higher means a higher response category,may be missing; model-specific complete cases
endline,own_goals,integer,1 to 5,ordered-logit outcome,raw recorded ordinal response; higher means a higher response category,may be missing; model-specific complete cases
